id,question,a,b,c,d,ans,level
1,A person crosses a 600 m long street in 5 minutes. What is his speed in km per hour?,3.6,7.2,8.4,10,b,e
2,"An aeroplane covers a certain distance at a speed of 240 kmph in 5 hours. To cover the same distance in 1 hours, it must travel at a speed of:",720 kmph,300 kmph,360 kmph,600 kmph,a,e
3,"If a person walks at 14 km/hr instead of 10 km/hr, he would have walked 20 km more. The actual distance travelled by him is:",50 km,56 km,70 km,80 km,a,h
4,"Excluding stoppages, the speed of a bus is 54 kmph and including stoppages, it is 45 kmph. For how many minutes does the bus stop per hour?",9,10,12,20,b,m
5,"The total of the ages of Amar, Akbar and Anthony is 80 years. What was the total of their ages three years ago ?",71 yr,72 yr,74 yr,77yr,a,e
6,Two bus tickets from city A to B and three tickets from city A to C cost Rs. 77 but three tickets from city A to B and two tickets from city A to C cost Rs. 73. What are the fares for cities B and C from A ?,"Rs. 4, Rs. 23","Rs. 13, Rs. 17","Rs. 15, Rs. 14","Rs. 17, Rs. 13",b,m
7,An institute organised a fete and 1/5 of the girls and 1/8 of the boys participated in the same. What fraction of the total number of students took part in the fete ?,2/13,13/40,Data inadequate,None of these,c,m
8,Which of the following function prototype is perfectly acceptable?,int Function(int Tmp = Show());,"float Function(int Tmp = Show(int, float));",Both A and B.,"float = Show(int, float) Function(Tmp);",a,h
9,Which of the following statement is correct?,We cannot use the constant while defining the function,C++ enables to define functions that take constants as an argument.,We cannot change the argument of the function that that are declared as constant.,Both A and B,d,m
10,Which of the following statement is correct?,Overloaded functions can have at most one default argument.,Overloaded functions can have at most one default argument.,All arguments of an overloaded function can be default,A function if overloaded more than once cannot have default argument.,c,m
11,what is ur name,sum,sam,som,sim,a,e
12,hi,me,meow,miss,mr,a,e
