id,question,a,b,c,d,ans,level
1,Which of the following declaration is not supported by C language?,String str;,char *str;,float str = 3e2;,Both “String str;” and “float str = 3e2;”,a,e
2,Which of these computer languages do we use in artificial intelligence?,PROLOG,FORTRAN,COBOL,C,a,e
3,"In IPv6, what is the length of an address?",32 bits,64 bits,128 bits,256 bits,c,m
4,Which one of the following is not a real time operating system?,RTLinux,Palm OS,QNX,VxWorks,b,m
5,What is the maximum length of the filename in DOS?,4,5,8,12,c,m
6,Which of the following is not a type of computer code?,EDIC,ASCII,BCD,EBCDIC,a,m
122,Which of the following is not a DDL command?,TRUNCATE,ALTER,CREATE,UPDATE,d,m
9,Which programming language is used for developing Android apps?,Java,C#,Python,Swift,a,m
10,Which data structure is used for implementing a Last-In-First-Out (LIFO) behavior?,Queue,Stack,Tree,Linked list,b,m
11,How many number of pointer (*) does C have against a pointer variable declaration?,7,127,255,No Limits,d,h
12,Routing is performed by which of the following layers?,Transport layer,data link layer,network layer,session layer,d,e
26,What is the core of the Linux operating system?,Terminal,Kernel,Command,Shell,b,e
126,"Which of the following command is used to count the total number of lines, words, and characters contained in a file?",wc,wcount,countw,countwc,a,e
15,What is the length of the MAC address?,8 bits,16 bits,32 bits,48 bits,d,m
20,Which device is used to connect different network segments in a computer network?,Repeater,Router,Bridge,Modem,b,h
21,Which command can be used to view the current IP configuration of a device?,ipconfig,ifconfig,both A and B,netstat,c,m
23,What is the correct syntax to write an HTML comment?,<!-- Comment -->,# Comment,/* Comment */,//Comment,a,m
128,The most basic part of any HTML page is?,ASCII Text,Binary Text,Text,Paragraph,a,e
25,How is black color represented in terms of RGB values?,"RGB(0, 0, 0)","RGB(100, 100, 100)","RGB(100, 100, 0)","RGB(100, 0, 0)",a,e
13,How can we select an element with a specific ID in CSS?,.,~,#,*,c,h
32,"If p is an integer pointer with a value 1000, then what will the value of p + 5 be?",1020,1005,1004,1010,a,h
33,Which of the following is a correct syntax to declare a pointer in C?, int *ptr;,int ptr*;,int ptr&;,int ptr#;,a,m
41,What is the correct way to write a for loop in C?,for i=0 to 10,for (i = 0; i < 10; i++),for (i = 1; i <= 10; i++),loop i from 1 to 10,b,e
35,Which operator has the highest precedence in C?,+,*,++,&&,c,m
36,What is the purpose of the DOCTYPE declaration in HTML?,To link external CSS,To declare the version of HTML,To define a variable in JavaScript,To insert comments,b,m
37,Which function is used to read a string in C?,fgets(),scanf(),None of the above,All of the above,d,m
129,What is the purpose of the return statement in C?,To exit from the function.,To transfer control to another function,To pause the execution of the function.,To continue from the last function call.,a,e
39,Which tag is used for creating hyperlinks in HTML?,<a>,<link>,<href>,<anchor>,a,m
53,Which of the following is NOT a valid CSS property?,font-size,background-color,color,font-colour,d,m
34,Which of the following is a block-level HTML element?,<span>,<div>,<a>,<img>,b,h
42,What is the purpose of the control unit in a CPU?,To perform calculations,To decode and execute instructions,To store data,To control peripheral devices,b,h
43,Which of the following is used to create a vector in R?,[],vector(),list(),c(),d,e
66,Which function in R is used to display the structure of an object?,summary(),str(),print(),typeof(),b,m
45,Which function is used to summarize data in R by groups?,aggregate(),summarize(),group_by(),tapply(),a,m
46,What does the acronym PNG stand for?,Portable Network Graphics,Print Network Graphics,Pixelated Network Graphics,Portable Negative Graphics,a,h
47,Which image format supports animation?,BMP,GIFF,TIFF,JPEG,b,m
48,What type of image format is SVG?,Raster,Vector,Bitmap,Compressed,b,h
63,Convert the binary number 11001 to decimal:,23,25,24,21,b,e
50,What is the decimal equivalent of the binary number 10110101?,181,179,183,175,a,h
51,Which company developed the Java programming language?,Microsoft,IBM,Sun Microsystems,Google,c,e
